address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score,roi
0xf1fc9580784335b2613c1392a530c1aa2a69ba3d,1000000000,4597.64,4757684.74,212721.99,-963.78,7.204842506,30,21575,137552,0.478406236,0.17957963
0x1b23819885fce964a8b39d364b7462d6e597ae8e,1000000000,974.57,2549692.74,92152.32,2335.23,2.49829821,49,22028,73440,0.620020777,0.008129974
0x8a9cf9ae6536127129727938cb1a6438273e4f94,1000000000,669.23,396521.83,85476.4,1484.43,0.57171696,37,10168,238736,0.530011199,0.022510255
0x78f11d82f93cf707d98e00870c9debf3601fa397,1000000000,325.58,81073.44,38029.91,859.21,0.154596311,44,4263,57648,0.358079962,0.021608458
0x0acd5006a4ee321be73bbe7a033cec236c9a62db,1000000000,24885.45,259684.62,34242.94,-63852.75,0.954626478,1,1561,15529,0.415905811,-0.044827643
0x5a34646b860485f012435e2486edb375615d1c7b,1000000000,287.89,1825895.45,28486.84,903.52,2.216812841,45,10758,39769,0.469859451,0.023989374
0xdc1b8f07440ec756bf820db446314ab3d1c5fa6a,1000000000,322.38,11514063.83,28319.86,1004.8,11.44649988,49,28081,66745,0.483570945,0.025466781
0xbe29e78b18066b3bf7c70523371e0169350f6f53,1000000000,499.88,1420143.53,27041.55,-358.91,1.87436572,38,12890,58786,0,0.048103775
0xd93dc936e60e9e275cbe6f225e9c065951b9b1d4,1000000000,2379.76,7206164.61,24536.14,-3364.3,15.9880793,49,12130,89647,0.398036003,0.097703602
0x20429f731096e359910921994a267d32ef576720,1000000000,364.03,115767.26,21580.92,517.48,0.201195921,38,2391,18080,0.452257328,0.00862658
0x97e0ed45fc6c2d712ce52015ee7ab8b1ad11be7c,1000000000,4243.46,197503.28,20435.48,389.93,0.440300159,7,13263,55452,0.555365674,0.036179667
0xef0ba30fa45e6015f1f403b803eb6c4b4c401c91,1000000000,2677.62,124443.23,17649.08,-2704.77,0.214000416,5,1733,21197,0.437974319,0.020870345
0xc41b9cf3b325673f1b4bd35106255bb0ce2cdeac,1000000000,1857.51,127661.02,17354.59,1502.32,0.236144996,5,946,6545,0.419916876,-0.122422604
0xf1bf289902c1fbf8cfd2eff3b9403ea8a2db9ac6,1000000000,1267.73,864655.33,16833.4,-3542.69,1.611149716,4,2653,22400,0.412624329,-0.001688905
0xdcb492364375a425547fedd3bbe66904994c6182,1000000000,14.02,55075.96,15772.33,355.81,0.072675398,46,3132,7524,0.36525771,0.045700367
0x1b77c87e078b4586de4ca81aaa388a2ab9cb0849,1000000000,15086.75,344473.56,15199.49,3803,0.611726979,1,732,6266,0.426148891,-0.159525494
0xf12b802172c632efcc43a6299ceb86348ec4a194,1000000000,1.74,229178.33,13436.1,375.1,0.337076363,49,854,4430,0.61911907,0.038115741
0xc66566c4067115cabdaf571289902f90cd197468,1000000000,148.81,40724.56,13365.39,377.76,0.129114251,20,1396,14180,0.414201774,0.043112875
0x481deb6ab67fa37e1d6b69c7f6a3931436f51d2e,1000000000,59.31,2470150.24,11839.56,298.45,3.009333234,42,3515,28306,0.35548842,0.020205142
0x56e302d3fe43e96dc0d899fb364804f61339782b,1000000000,50.27,212462.42,10843.67,149.97,0.217779216,60,521,4159,0.373229444,0.008015688
0x62574e9d339ff6c336cbf900323162de9e134611,1000000000,41.99,1042404.15,10552.7,306.48,0.961814125,47,5186,17932,0.471719317,0.000394267
0x27e0221b0b845c62bf986210d2ba5be4b3f80b0c,1000000000,23.27,55541.86,9479.84,249.12,0.089704214,16,1626,8887,0.459354274,0.015115121
0x0b50ff8ad9bd902c1b79a5ab1f1474409eb4fe6b,1000000000,0.02,145.94,8548.32,378.4,0.00054864,2,27,337,0.516235948,-0.004693554
0xdaf8f464b1b38d640157cc62d815a72edcb19908,1000000000,27.8,842172.25,8496.15,-675.87,0.810134476,47,3478,14301,0.401161544,-0.059215439
0xb086d57896f13fae4c4b61ed3f426758140054a8,1000000000,23725,23725,8347.15,8347.251313,0.042493509,0,125,695,0.496572979,-0.143382138
0xd723dc3a993d2d7c604f5157dd095ad2c81c44d1,1000000000,1.82,2454.15,7740.15,238.92,0.0065447,28,225,1403,0.287342598,-0.001609507
0xa53b0892e65cb9ab47100ce88877d68f7ba1676b,1000000000,0.01,943707.66,7713.87,-113.59,1.01790911,49,569,5427,0,0.023762857
0xadb93703aaaaff62a1be56e12846dc5d6e8df53c,1000000000,45.86,1085180.16,7646.12,211.7,1.148527457,49,11776,24227,0.441415831,0.019932221
0x7471968e5af4b0e052e01d08e5d83bb90fd6d98c,1000000000,3.43,488786.13,7432.38,271.98,0.903613863,48,12430,19210,0.350596227,0.045270817
0x2b847b959f4bce204aebdf67fb24c1f9eb902545,1000000000,9.71,1244207.35,7190.71,251.29,1.19373402,46,454,6208,0.373978354,0.008657928
0xb688ec9d5370bfe5d637581ce35b06c714943dd9,1000000000,21.45,557868.2,6871.84,177.44,0.705213925,17,2058,12259,0.418774553,0.029651109
0xcec47fa52385dcd9a470ceda8b80d6c5f7b108b4,1000000000,14.97,136989.97,6643.73,221.18,0.151545684,43,269,2518,0.488121845,0.00862658
0x8dcca83d6b1812383850e6a9f94a4d3d2f21299e,1000000000,0,3921.17,6592.2,-169.12,0.009804924,46,102,459,0.498437852,0.029573116
0x9adc8a88efd7f25e0e4e98af763a770f67652f1b,1000000000,0.6,86018.77,6574.02,318.2,0.122915227,49,1356,4679,0.387199268,0.07544637
0x9910737948144c4cb0482968c48aafe4a62874ce,1000000000,0.24,1699681.95,6418.03,146.57,2.203899102,28,1759,11188,0.347712204,0.052917303
0xa571549ccba4344e366cbe26b2fc6a11c2e5b92f,1000000000,0,68.96,6318.64,0,0.000184978,47,4,12,0,-0.019246917
0x5161e0ba52215a6ed15bb829efa6c140c4c3dd4f,1000000000,0,1.66,6315.08,0,4.59E-06,47,3,47,0,-0.023656993
0x04b823c1ebb047d1e5cf1c1757e763fb82f2a90c,1000000000,0,4422.79,6313.46,0,0.009834418,47,5,48,0,-0.019246917
