address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score
0x5236868e865aa02019a8dfaff009a44cc3d5addf,1000000000,0.18,410050.3,2666.02,53.1,0.5489146930882208,30,14021,24300,0.0
0xd2a01d7e30726d0f457588fee8f784507914a927,1000000000,2119.84,2119.84,4944.24,4942.345258691196,0.004807378264732513,0,23,123,0.0
0xeb494805133da1e1d76e3fe6d3c3ce32ab004858,1000000000,0.39,0.39,21.60,21.602701770716692,0.000121173388498209,0,6,22,0.0
0x308f4ee23c0f407e896555d0ec04bd6d2ce58e2a,1000000000,5385.56,5385.56,3490.42,3490.4196615566743,0.009878471552050754,0,40,211,0.0
0xb11aedc745b1b44fa33ad202b61c683733b0c536,1000000000,0.98,0.98,167.19,167.18672257448577,5.235526864112e-06,0,5,33,0.0
0x9a5332a690c394a2f41a341ab0bb2748f8cff05e,1000000000,0.03,3.04,1411.82,13.51,0.000179172702939174,17,8,118,0.0
0xc41b9cf3b325673f1b4bd35106255bb0ce2cdeac,1000000000,2036.25,127849.28,16432.23,409.58,0.2361647314187513,5,946,6597,0.0
0xb086d57896f13fae4c4b61ed3f426758140054a8,1000000000,23737.77,23737.77,8285.85,8285.85307036037,0.04254455614560688,0,132,761,0.0
0xf1bf289902c1fbf8cfd2eff3b9403ea8a2db9ac6,1000000000,1274.65,864666.01,16681.57,-3924.55,1.611184251365453,4,2654,22509,0.0
0xfe3659974f11f4e3cebccceb31bcd528bdd92189,1000000000,2819.73,41701.09,3104.75,-534.12,0.08311238190221805,2,3291,10917,0.0
0xca0ca6b01d5697a1d0c8856423641b975c05e42d,1000000000,2.36,4482.76,1517.60,15.93,0.009309709837031475,5,171,637,0.0
0x7b86a0b807cb818ff5d09547dfa6ffcbaee9c276,1000000000,8.25,17.6,56.97,-713.45,9.4100010447457e-05,1,17,121,0.0
0x2cb5415f1ee8cb992f37403d092d7300118b48dd,1000000000,0.57,8398.55,2013.65,18.02,0.03729022576071776,13,324,2189,0.0
